date,flowers_appeared,fruits_matured,fruits_appeared,fruits_unmarketable,DAP (d)
2021/03/24,0.4375,0,0.4375,0,51
2021/03/25,0.90625,0,0.8125,0,52
2021/03/26,1.78125,0,1.6875,0,53
2021/03/27,2.34375,0,2.25,0,54
2021/03/28,3,0,2.90625,0,55
2021/03/29,3.71875,0,3.59375,0,56
2021/03/30,4.25,0.03125,4.125,0,57
2021/03/31,5.0625,0.53125,4.9375,0,58
2021/04/01,5.845108695652174,0.9660326086956521,5.720108695652174,0,59
2021/04/02,6.552425768822905,1.5757887062566278,6.500596500530222,0,60
2021/04/03,7.489925768822905,2.1382887062566276,7.438096500530222,0.03125,61
2021/04/04,8.302425768822905,2.6382887062566276,8.250596500530223,0.03125,62
2021/04/05,8.677425768822905,3.0132887062566276,8.625596500530223,0.03125,63
2021/04/06,8.833675768822905,3.5757887062566276,8.781846500530223,0.03125,64
2021/04/07,9.396175768822905,4.2532080610953376,9.344346500530223,0.03125,65
2021/04/08,9.802425768822905,4.7532080610953376,9.750596500530223,0.03125,66
2021/04/09,10.833675768822905,4.9719580610953376,10.781846500530223,0.03125,67
2021/04/10,11.489925768822905,4.9719580610953376,11.438096500530223,0.03125,68
2021/04/11,11.489925768822905,5.5344580610953376,11.438096500530223,0.03125,69
2021/04/12,11.614925768822905,6.0344580610953376,11.563096500530223,0.03125,70
2021/04/13,12.177425768822905,6.4407080610953376,12.125596500530223,0.03125,71
2021/04/14,12.583675768822905,6.8782080610953376,12.531846500530223,0.03125,72
2021/04/15,13.271175768822905,7.5344580610953376,13.219346500530223,0.03125,73
2021/04/16,13.864925768822905,8.065708061095338,13.813096500530223,0.03125,74
2021/04/17,14.239925768822905,8.065708061095338,14.188096500530223,0.03125,75
2021/04/18,14.864925768822905,8.565708061095338,14.813096500530223,0.03125,76
2021/04/19,15.489925768822905,8.878208061095338,15.438096500530223,0.03125,77
2021/04/20,16.052425768822907,9.565708061095338,16.00059650053022,0.03125,78
2021/04/21,16.333675768822907,10.190708061095338,16.28184650053022,0.03125,79
2021/04/22,17.052425768822907,10.690708061095338,17.00059650053022,0.03125,80
2021/04/23,17.677425768822907,11.221958061095338,17.62559650053022,0.03125,81
2021/04/24,18.177425768822907,11.721958061095338,18.12559650053022,0.03125,82
2021/04/25,18.896175768822907,12.003208061095338,18.84434650053022,0.03125,83
2021/04/26,19.333675768822907,12.784458061095338,19.28184650053022,0.03125,84
2021/04/27,19.521175768822907,13.065708061095338,19.46934650053022,0.03125,85
2021/04/28,20.083675768822907,13.565708061095338,20.03184650053022,0.03125,86
2021/04/29,20.396175768822907,14.159458061095338,20.34434650053022,0.03125,87
2021/04/30,21.021175768822907,14.378208061095338,20.96934650053022,0.03125,88
2021/05/01,21.614925768822907,14.815708061095338,21.56309650053022,0.03125,89
2021/05/02,21.91927359490986,15.25049066979099,21.86744432661718,0.03125,90
2021/05/03,22.309517497348885,15.640734572230015,22.257688229056203,0.03125,91
2021/05/04,22.872017497348885,16.046984572230013,22.820188229056203,0.03125,92
2021/05/05,23.122017497348885,16.515734572230013,23.070188229056203,0.03125,93
2021/05/06,23.684517497348885,16.984484572230013,23.632688229056203,0.03125,94
2021/05/07,24.153267497348885,17.578234572230013,24.101438229056203,0.03125,95
2021/05/08,24.372017497348885,17.671984572230013,24.320188229056203,0.03125,96
2021/05/09,25.122017497348885,18.171984572230013,25.070188229056203,0.03125,97
2021/05/10,25.559517497348885,18.609484572230013,25.507688229056203,0.03125,98
2021/05/11,26.122017497348885,18.984484572230013,26.070188229056203,0.03125,99
2021/05/12,26.590767497348885,19.421984572230013,26.538938229056203,0.03125,100
2021/05/13,27.122017497348885,19.796984572230013,27.070188229056203,0.03125,101
2021/05/14,27.559517497348885,20.359484572230013,27.507688229056203,0.03125,102
2021/05/15,27.872017497348885,20.953234572230013,27.820188229056203,0.03125,103
2021/05/16,28.497017497348885,21.296984572230013,28.445188229056203,0.03125,104
2021/05/17,29.028267497348885,21.671984572230013,28.976438229056203,0.03125,105
2021/05/18,29.559517497348885,22.015734572230013,29.507688229056203,0.03125,106
2021/05/19,29.872017497348885,22.453234572230013,29.820188229056203,0.03125,107
2021/05/20,30.215767497348885,22.671984572230013,30.163938229056203,0.03125,108
2021/05/21,30.590767497348885,22.828234572230013,30.538938229056203,0.03125,109
2021/05/22,31.090767497348885,23.390734572230013,31.038938229056203,0.03125,110
2021/05/23,31.465767497348885,23.828234572230013,31.413938229056203,0.03125,111
2021/05/24,32.028267497348885,24.296984572230013,31.976438229056203,0.03125,112
2021/05/25,32.403267497348885,24.453234572230013,32.35143822905621,0.03125,113
2021/05/26,32.934517497348885,24.953234572230013,32.88268822905621,0.03125,114
2021/05/27,33.590767497348885,25.484484572230013,33.53893822905621,0.03125,115
2021/05/28,33.872017497348885,25.828234572230013,33.82018822905621,0.03125,116
2021/05/29,34.278267497348885,26.171984572230013,34.22643822905621,0.03125,117
2021/05/30,34.778267497348885,26.515734572230013,34.72643822905621,0.03125,118
2021/05/31,35.184517497348885,27.203234572230013,35.13268822905621,0.03125,119
2021/06/01,35.559517497348885,27.859484572230013,35.50768822905621,0.03125,120
2021/06/02,36.153267497348885,28.046984572230013,36.10143822905621,0.03125,121
2021/06/03,36.653267497348885,28.680317905563346,36.60143822905621,0.03125,122
2021/06/04,37.122017497348885,29.055317905563346,37.07018822905621,0.03125,123
2021/06/05,37.622017497348885,29.367817905563346,37.57018822905621,0.03125,124
2021/06/06,38.090767497348885,29.742817905563346,38.03893822905621,0.03125,125
2021/06/07,38.559517497348885,30.367817905563346,38.50768822905621,0.03125,126
2021/06/08,39.247017497348885,30.742817905563346,39.19518822905621,0.03125,127
2021/06/09,39.778267497348885,31.430317905563346,39.72643822905621,0.03125,128
2021/06/10,40.434517497348885,31.899067905563346,40.38268822905621,0.03125,129
2021/06/11,41.090767497348885,32.33656790556335,41.03893822905621,0.03125,130
2021/06/12,41.590767497348885,32.77406790556335,41.53893822905621,0.03125,131
2021/06/13,42.340767497348885,33.11781790556335,42.28893822905621,0.03125,132
2021/06/14,42.872017497348885,33.58656790556335,43.03893822905621,0.5625,133
2021/06/15,43.309517497348885,33.83656790556335,43.47643822905621,1.09375,134
2021/06/16,43.965767497348885,34.52406790556335,44.13268822905621,1.625,135
2021/06/17,44.309517497348885,34.74281790556335,44.47643822905621,2.15625,136
2021/06/18,44.684517497348885,35.08656790556335,44.85143822905621,2.6875,137
2021/06/19,45.090767497348885,35.55531790556335,45.25768822905621,2.6875,138
2021/06/20,45.684517497348885,35.86781790556335,45.85143822905621,2.6875,139
2021/06/21,45.872017497348885,36.02406790556335,46.03893822905621,2.6875,140
2021/06/22,46.465767497348885,36.33656790556335,46.63268822905621,2.6875,141
2021/06/23,47.059517497348885,36.61781790556335,47.22643822905621,2.6875,142
2021/06/24,47.403267497348885,37.11781790556335,47.57018822905621,2.6875,143
2021/06/25,47.715767497348885,37.30531790556335,47.88268822905621,2.6875,144
2021/06/26,48.153267497348885,37.89906790556335,48.32018822905621,2.6875,145
2021/06/27,48.747017497348885,38.33656790556335,48.91393822905621,2.6875,146
2021/06/28,49.215767497348885,38.99281790556335,49.38268822905621,2.6875,147
2021/06/29,49.684517497348885,39.33656790556335,49.85143822905621,2.6875,148
2021/06/30,50.528267497348885,39.49281790556335,50.69518822905621,2.6875,149
2021/07/01,50.809517497348885,40.18031790556335,50.97643822905621,2.6875,150
2021/07/02,51.434517497348885,40.43031790556335,51.60143822905621,2.6875,151
2021/07/03,51.934517497348885,40.71156790556335,52.10143822905621,2.6875,152
2021/07/04,52.559517497348885,41.08656790556335,52.72643822905621,2.6875,153
2021/07/05,53.028267497348885,41.77406790556335,53.19518822905621,2.6875,154
2021/07/06,53.528267497348885,42.14906790556335,53.69518822905621,2.6875,155
2021/07/07,54.059517497348885,42.52406790556335,54.22643822905621,2.6875,156
2021/07/08,54.434517497348885,42.64906790556335,54.60143822905621,2.6875,157
2021/07/09,54.715767497348885,42.89906790556335,54.88268822905621,2.6875,158
2021/07/10,55.340767497348885,43.14906790556335,55.50768822905621,2.6875,159
2021/07/11,55.778267497348885,43.27406790556335,55.94518822905621,2.6875,160
2021/07/12,56.434517497348885,43.49281790556335,56.60143822905621,2.6875,161
2021/07/13,56.997017497348885,43.52406790556335,57.16393822905621,2.6875,162
2021/07/14,57.528267497348885,43.84664855072464,57.69518822905621,2.6875,163
2021/07/15,58.153267497348885,44.25289855072464,58.32018822905621,2.6875,164
2021/07/16,58.653267497348885,44.44039855072464,58.82018822905621,2.6875,165
2021/07/17,59.247017497348885,44.72164855072464,59.41393822905621,2.6875,166
2021/07/18,59.809517497348885,44.87789855072464,59.97643822905621,2.6875,167
2021/07/19,60.247017497348885,45.40914855072464,60.41393822905621,2.6875,168
2021/07/20,60.653267497348885,45.56539855072464,60.82018822905621,2.6875,169
2021/07/21,61.215767497348885,45.75289855072464,61.38268822905621,2.6875,170
2021/07/22,61.715767497348885,45.87789855072464,61.88268822905621,2.6875,171
2021/07/23,62.122017497348885,46.00289855072464,62.28893822905621,2.6875,172
2021/07/24,62.934517497348885,46.22164855072464,63.10143822905621,2.6875,173
2021/07/25,63.4496690125004,46.46407279314888,63.616589744207715,2.6875,174
2021/07/26,64.25612062540363,47.01245988992307,64.42304135711095,2.6875,175
2021/07/27,64.41237062540363,47.13745988992307,64.57929135711095,2.6875,176
2021/07/28,64.84987062540363,47.60620988992307,65.01679135711095,2.6875,177
2021/07/29,65.25612062540363,47.85620988992307,65.42304135711095,2.6875,178
2021/07/30,65.72487062540363,48.07495988992307,65.89179135711095,2.6875,179
2021/07/31,66.41237062540363,48.82495988992307,66.57929135711095,2.6875,180
2021/08/01,67.06862062540363,48.98120988992307,67.23554135711095,2.6875,181
2021/08/02,67.41237062540363,49.35620988992307,67.57929135711095,2.6875,182
2021/08/03,67.91237062540363,49.57495988992307,68.07929135711095,2.6875,183
2021/08/04,68.31862062540363,50.23120988992307,68.48554135711095,2.6875,184
2021/08/05,68.78737062540363,50.66870988992307,68.95429135711095,2.6875,185
2021/08/06,69.38112062540363,51.10620988992307,69.54804135711095,2.6875,186
2021/08/07,69.75612062540363,51.38745988992307,69.92304135711095,2.6875,187
2021/08/08,70.13112062540363,51.79370988992307,70.29804135711095,2.6875,188
2021/08/09,70.97487062540363,52.13745988992307,71.14179135711095,2.6875,189
2021/08/10,71.38112062540363,52.29370988992307,71.54804135711095,2.6875,190
2021/08/11,71.75612062540363,52.79370988992307,71.92304135711095,2.6875,191
2021/08/12,72.22487062540363,53.04370988992307,72.39179135711095,2.6875,192
2021/08/13,72.47487062540363,53.23120988992307,72.64179135711095,2.6875,193
2021/08/14,73.00612062540363,53.41870988992307,73.17304135711095,2.6875,194
2021/08/15,73.56862062540363,53.63745988992307,73.73554135711095,2.6875,195
2021/08/16,73.94362062540363,54.07495988992307,74.11054135711095,2.6875,196
